virus,term,estimate,std.error,statistic,p.value,ind
h1pdm,logHImid,-0.5703178860233582,0.25284535929021096,-2.255599579222486,0.02409571959914683,170
h1pdm,(Intercept),-0.3006935258738695,0.7310240546392246,-0.4113319171450082,0.680829168990971,171
h1pdm,logHImid,-1.0706662579489632,0.39344054068051054,-2.7212911412156355,0.006502746238880447,171
h1pdm,(Intercept),-2.0904554580804655,0.5437566952574223,-3.8444684475853923,1.2081402770432355e-4,172
h1pdm,logHImid,-0.3434865844989791,0.1951497482715878,-1.7601179993373732,0.07838780154347592,172
h1pdm,(Intercept),-1.4249080054189005,0.5113062932510125,-2.7867992712528165,0.005323144060272829,173
h1pdm,logHImid,-0.5338620298856587,0.2004748732143038,-2.662987242869935,0.007745035032904445,173
h1pdm,(Intercept),-1.957715142269108,0.5010476085808133,-3.9072437603568577,9.33549603477779e-5,174
h1pdm,logHImid,-0.27434650320587034,0.15205565839281124,-1.8042505363209862,0.07119204018387901,174
h1pdm,(Intercept),-0.938475223721883,0.4746501566121453,-1.9771935406496595,0.048019757471035075,175
h1pdm,logHImid,-0.6311054907015786,0.19264393598074334,-3.276020537519872,0.0010528090470766924,175
h1pdm,(Intercept),-1.3145579464074266,0.655254121007576,-2.006180356998057,0.044837008834102736,176
h1pdm,logHImid,-0.7773200759696912,0.3067295499998307,-2.5342197253903977,0.011269804089296414,176
h1pdm,(Intercept),-0.5080239374532226,0.8239905364260895,-0.6165409856000105,0.5375375301977174,177
h1pdm,logHImid,-1.0965748918364522,0.45547102571766285,-2.4075623473713486,0.016059419822851303,177
h1pdm,(Intercept),-1.9596831374342807,0.5420909907905976,-3.6150446525153184,3.002958583797767e-4,178
h1pdm,logHImid,-0.39484068743841255,0.19000715132640136,-2.0780306671728397,0.037706534656764795,178
h1pdm,(Intercept),-2.010110571931877,0.7004426141789888,-2.8697719573901024,0.004107679260366094,179
h1pdm,logHImid,-0.6040010175100954,0.29869521537349325,-2.0221315455449895,0.0431627638638367,179
h1pdm,(Intercept),-0.9808336868862606,0.44885503104792335,-2.1851903600063225,0.02887489204614914,180
h1pdm,logHImid,-0.5985910887120585,0.18263363939658384,-3.2775511164853626,0.001047117692562961,180
h1pdm,(Intercept),-1.4335139278336289,0.4779365166276268,-2.9993814616816947,0.0027052836889233326,181
h1pdm,logHImid,-0.495495785144593,0.18070861997027232,-2.7419598756611894,0.006107380156795255,181
h1pdm,(Intercept),-1.3734375521080004,0.5384756790148513,-2.550602758179763,0.010753681774408191,182
h1pdm,logHImid,-0.5840440124517248,0.2248979408891597,-2.596929123239813,0.00940613309003896,182
h1pdm,(Intercept),-1.4838180940021095,0.47533801945878507,-3.1216061692089543,0.0017986737921012427,183
h1pdm,logHImid,-0.440982884373698,0.16444755144543752,-2.681602009258331,0.007327057174049153,183
h1pdm,(Intercept),-0.7030767604910703,0.5233001271869916,-1.3435440275363029,0.17909587971791194,184
h1pdm,logHImid,-0.7904167672806398,0.2362887154831336,-3.3451312546369154,8.224363957752892e-4,184
h1pdm,(Intercept),-1.7127459360344304,0.5925049215145798,-2.8906864295004593,0.003844014578805486,185
h1pdm,logHImid,-0.5333556961454808,0.2281001753084761,-2.338252022052092,0.019374178286506557,185
h1pdm,(Intercept),-0.27954845942259093,0.6377549040896894,-0.43833212042737535,0.6611455448688284,186
h1pdm,logHImid,-1.0172638602878992,0.3307955937931776,-3.0752037795398213,0.0021035877261116305,186
h1pdm,(Intercept),-1.5827289125855626,0.6922494142104307,-2.2863564491286703,0.022233413962447043,187
h1pdm,logHImid,-0.6766842043440489,0.29848051968653067,-2.267096710548193,0.02338431848826266,187
h1pdm,(Intercept),-1.012831774325635,0.6076743532456648,-1.6667344424130683,0.09556722103253691,188
h1pdm,logHImid,-0.780928890377132,0.2900228813513249,-2.692645789664914,0.007088753566356928,188
h1pdm,(Intercept),-1.9892236695871668,0.5437642810723454,-3.6582463005187895,2.539469454377642e-4,189
h1pdm,logHImid,-0.37296383239069875,0.1797879451263774,-2.0744651824599987,0.03803612910908991,189
h1pdm,(Intercept),-1.1447915988459345,0.5231954537183473,-2.1880763502624245,0.02866404128126521,190
h1pdm,logHImid,-0.6271305008728794,0.2160269509152561,-2.9030197307135657,0.0036958335180196306,190
h1pdm,(Intercept),-2.043023970555209,0.5070725610028493,-4.029056446112313,5.600117187513575e-5,191
h1pdm,logHImid,-0.29628667605568265,0.1575148291076066,-1.8810081421176779,0.05997081126991873,191
h1pdm,(Intercept),-1.8245183925550945,0.5346247495958099,-3.4127084350929837,6.432071814637332e-4,192
h1pdm,logHImid,-0.4348485791513509,0.18792697709535838,-2.31392313052904,0.02067193907424919,192
h1pdm,(Intercept),-2.497549707371959,0.560789701067636,-4.453629769978128,8.443063836877887e-6,193
h1pdm,logHImid,-0.19047240255458658,0.15824545150492295,-1.2036516736701344,0.2287242381431653,193
h1pdm,(Intercept),-1.4499444267818633,0.5193963832434246,-2.7915951546053033,0.005244893358922102,194
h1pdm,logHImid,-0.5416162063384757,0.20149438884687032,-2.687996471951821,0.0071882156130968385,194
h1pdm,(Intercept),-1.5718692276792088,0.5438724021408178,-2.8901433893169397,0.003850661427643724,195
h1pdm,logHImid,-0.4824464590914123,0.1954122777111398,-2.4688646217233545,0.013554248577368415,195
